prod_id,order_quantity,time
1079,150,2021/06/08 18:41
7468,169,2021/06/08 20:38
7457,143,2021/06/08 21:35
4287,154,2021/06/08 23:22
4721,159,2021/06/09 0:04
8120,174,2021/06/09 0:50
8965,75,2021/06/09 0:57
7336,65,2021/06/09 1:54
7461,95,2021/06/09 2:31
6118,142,2021/06/09 4:12
2014,94,2021/06/09 5:02
9965,185,2021/06/09 5:48
6014,101,2021/06/09 6:13
2438,197,2021/06/09 7:31
6574,160,2021/06/09 8:57
6799,160,2021/06/09 9:34
8379,121,2021/06/09 11:15
6887,165,2021/06/09 11:41
4860,196,2021/06/09 12:38
5699,141,2021/06/09 13:45
4166,151,2021/06/09 14:43
5988,23,2021/06/09 15:23
2674,196,2021/06/09 16:05
6783,140,2021/06/09 16:28
5954,117,2021/06/09 17:04
7829,128,2021/06/09 17:36
9777,13,2021/06/09 18:31
1604,76,2021/06/09 18:35
3438,194,2021/06/09 19:07
1585,68,2021/06/09 19:19
7222,64,2021/06/09 21:14
9807,95,2021/06/09 22:27
4246,133,2021/06/10 0:00
4383,53,2021/06/10 0:03
8049,87,2021/06/10 0:09
9480,73,2021/06/10 0:51
4023,73,2021/06/10 2:33
8066,185,2021/06/10 4:32
1326,52,2021/06/10 5:45
3149,132,2021/06/10 7:25
5291,112,2021/06/10 8:36
4252,102,2021/06/10 10:32
5474,78,2021/06/10 10:49
6122,149,2021/06/10 12:08
6384,61,2021/06/10 13:00
4098,67,2021/06/10 13:58
3166,132,2021/06/10 14:49
4351,185,2021/06/10 14:59
8018,28,2021/06/10 15:02
4828,10,2021/06/10 16:35
6874,158,2021/06/10 17:47
9277,175,2021/06/10 19:16
2339,75,2021/06/10 20:37
4022,3,2021/06/10 21:19
7270,102,2021/06/10 23:14
8022,192,2021/06/10 23:56
3570,91,2021/06/11 1:10
2189,74,2021/06/11 1:34
6150,112,2021/06/11 2:54
4274,52,2021/06/11 4:49
7746,146,2021/06/11 6:40
2602,118,2021/06/11 6:49
6673,122,2021/06/11 7:40
5896,22,2021/06/11 8:14
3844,98,2021/06/11 10:02
1522,198,2021/06/11 11:15
9657,181,2021/06/11 12:07
7557,64,2021/06/11 12:55
7697,123,2021/04/12 18:28
3358,147,2021/04/12 19:04
5418,118,2021/04/12 20:32
4979,85,2021/04/12 22:14
5358,34,2021/04/13 0:01
7107,131,2021/04/13 1:24
6125,56,2021/04/13 2:10
9543,198,2021/04/13 2:43
2470,178,2021/04/13 3:27
3317,117,2021/04/13 4:20
3083,103,2021/04/13 4:24
9046,181,2021/04/13 6:23
4540,139,2021/04/13 8:09
3295,65,2021/04/13 8:44
9396,140,2021/04/13 8:56
5457,123,2021/04/13 10:07
4968,69,2021/04/13 10:22
1654,160,2021/04/13 10:27
6294,166,2021/04/13 11:12
7514,152,2021/04/13 12:44
9804,108,2021/04/13 13:27
9620,109,2021/04/13 13:38
2036,94,2021/04/13 14:24
8812,98,2021/04/13 15:28
2317,39,2021/04/13 15:32
9310,16,2021/04/13 15:40
5066,116,2021/04/13 16:54
5600,92,2021/04/13 17:47
1447,132,2021/04/13 18:32
5922,140,2021/04/13 19:29
6352,93,2021/04/13 19:41
7603,129,2021/04/13 20:40
7044,22,2021/04/13 22:34
9932,62,2021/04/14 0:31
6864,191,2021/04/14 2:01
3366,76,2021/04/14 3:24
2448,91,2021/04/14 4:28
6547,192,2021/04/14 4:50
8976,177,2021/04/14 4:51
9605,10,2021/04/14 5:45
8029,177,2021/04/14 6:41
1773,71,2021/04/14 7:13
3834,197,2021/09/26 20:24
3260,47,2021/09/26 21:09
3761,98,2021/09/26 22:05
6122,20,2021/09/26 22:20
9551,70,2021/09/26 23:27
4248,106,2021/09/27 0:47
1341,192,2021/09/27 2:45
6871,71,2021/09/27 3:04
1757,184,2021/09/27 4:05
1719,54,2021/09/27 5:29
5206,187,2021/09/27 7:19
6313,117,2021/09/27 8:43
9666,49,2021/09/27 9:05
5071,168,2021/09/27 10:49
2136,185,2021/09/27 11:36
1243,152,2021/09/27 12:45
3869,192,2021/09/27 13:31
7897,46,2021/09/27 13:40
9345,85,2021/09/27 14:52
7885,94,2021/09/27 15:07
5769,79,2021/09/27 16:33
9695,76,2021/09/27 16:40
1721,88,2021/09/27 18:29
6084,66,2021/09/27 19:20
8174,114,2021/09/27 19:25
8225,122,2021/09/27 20:14
7023,4,2021/09/27 21:37
4087,79,2021/09/27 21:48
5784,76,2021/09/27 23:40
9870,8,2021/09/28 1:26
6561,87,2021/09/28 2:19
3394,143,2021/09/28 2:49
9736,37,2021/09/28 3:43
8878,50,2021/09/28 5:10
5915,64,2021/09/28 5:16
5793,124,2021/09/28 6:49
4760,44,2021/09/28 8:23
7972,46,2021/09/28 10:21
2860,85,2021/09/28 11:31
9714,103,2021/09/28 13:02
8224,103,2021/09/28 14:08
6891,171,2021/09/28 15:12
2663,57,2021/09/28 16:10
9237,166,2021/09/28 17:49
4956,185,2021/09/28 18:24
5931,25,2021/09/28 19:09
4151,48,2021/09/28 19:25
5342,55,2021/09/28 21:15
4030,150,2021/09/28 21:42
4782,130,2021/09/28 22:57
9105,123,2021/09/29 0:18
5600,40,2021/09/29 0:48
8260,67,2021/09/29 1:13
3689,103,2021/09/29 1:22
5667,24,2021/09/29 2:30
6586,44,2021/09/29 4:11
4532,179,2021/09/29 6:03
4462,121,2021/09/29 6:34
9095,110,2021/09/29 8:20
4346,131,2021/09/29 10:17
1447,68,2021/09/29 11:18
4983,8,2021/09/29 12:44
7893,100,2021/09/29 13:40
8621,47,2021/09/29 15:35
4724,137,2021/09/29 17:12
8832,40,2021/09/29 18:49
9329,166,2021/09/29 18:54
7298,61,2021/09/29 20:03
9026,32,2021/09/29 21:14
9467,177,2021/09/29 22:47
8213,47,2021/09/29 23:51
1269,11,2021/09/30 0:09
6403,161,2021/09/30 2:08
7394,72,2021/09/30 2:41
8634,78,2021/09/30 3:25
7380,30,2021/09/30 3:44
7280,50,2021/09/30 4:20
5183,126,2021/09/30 6:06
5037,147,2021/09/30 7:15
6425,161,2021/09/30 7:30
7185,121,2021/04/15 1:27
7878,91,2021/04/15 2:05
8316,171,2021/04/15 3:58
2113,51,2021/04/15 4:38
8953,96,2021/04/15 6:25
1273,164,2021/04/15 8:24
4686,85,2021/04/15 10:05
7535,44,2021/04/15 10:33
4146,46,2021/04/15 11:39
5274,86,2021/04/15 11:43
6568,198,2021/04/15 13:43
4274,126,2021/04/15 15:18
2804,161,2021/04/15 16:10
8775,61,2021/04/15 17:56
7464,9,2021/04/15 19:01
5402,16,2021/04/15 20:47
1630,32,2021/04/15 21:07
7012,116,2021/04/15 22:14
3964,42,2021/04/15 23:23
5666,32,2021/04/15 23:54
2424,80,2021/04/15 23:55
7193,116,2021/04/16 0:18
1260,20,2021/04/16 2:06
3590,81,2021/04/16 2:17
7047,188,2021/04/16 3:52
7486,86,2021/04/16 5:49
1047,168,2021/04/16 5:56
5456,58,2021/04/16 7:32
8295,28,2021/04/16 9:23
9716,74,2021/04/16 10:31
4409,199,2021/04/16 10:45
1174,151,2021/04/16 11:40
9729,5,2021/04/16 12:03
4868,155,2021/04/16 12:57
1692,32,2021/04/16 14:50
9446,20,2021/04/16 15:25
3973,100,2021/04/16 15:57
1298,104,2021/04/16 17:21
4196,200,2021/04/16 17:22
5425,176,2021/04/16 17:35
7258,60,2021/04/16 18:40
5809,99,2021/04/16 20:21
1957,85,2021/04/16 22:07
1987,81,2021/06/09 9:10
7455,37,2021/06/09 10:41
8717,171,2021/06/09 12:08
5602,78,2021/06/09 12:33
9714,8,2021/06/09 12:44
1141,197,2021/06/09 13:26
2534,47,2021/06/09 14:52
2407,153,2021/06/09 15:56
5378,47,2021/06/09 17:23
4901,1,2021/06/09 19:16
6852,147,2021/06/09 20:43
8615,97,2021/06/09 21:57
7248,179,2021/06/09 23:27
5186,154,2021/06/10 0:55
5118,11,2021/10/04 1:08
9630,49,2021/10/04 1:52
4502,73,2021/10/04 2:30
1947,96,2021/10/04 3:35
4390,59,2021/10/04 4:08
1742,169,2021/10/04 5:48
4863,26,2021/10/04 6:29
8392,40,2021/10/04 7:59
8278,3,2021/10/04 8:05
8889,168,2021/10/04 9:54
1316,51,2021/10/04 10:59
5386,148,2021/10/04 11:54
4611,61,2021/10/04 11:57
3539,46,2021/10/04 12:52
5517,187,2021/10/04 13:27
5727,175,2021/10/04 14:05
3810,109,2021/10/04 16:03
7636,84,2021/10/04 17:18
5943,46,2021/10/04 18:39
4216,1,2021/10/04 19:18
9768,109,2021/10/04 19:46
2010,174,2021/10/04 21:14
3626,65,2021/10/04 21:22
6784,15,2021/10/04 22:54
1557,98,2021/10/05 0:41
3308,60,2021/10/05 2:27
7374,119,2021/10/05 3:55
8702,66,2021/10/05 4:37
2288,27,2021/10/05 6:16
2013,51,2021/10/05 7:05
3810,89,2021/10/05 7:34
7494,27,2021/10/05 9:09
6062,176,2021/10/05 10:37
4439,53,2021/10/05 11:56
2461,92,2021/10/05 13:52
4054,71,2021/10/05 14:33
5533,195,2021/10/05 16:25
9694,21,2021/10/05 18:03
8553,197,2021/10/05 18:58
7757,189,2021/10/05 19:24
8778,12,2021/10/05 19:58
2259,41,2021/10/05 20:28
2235,79,2021/10/05 20:42
9848,56,2021/10/05 20:59
5091,148,2021/10/05 22:16
4314,20,2021/10/05 22:32
3436,60,2021/10/05 22:39
7523,35,2021/10/05 23:30
5472,188,2021/10/05 23:51
7999,120,2021/10/06 0:49
6195,6,2021/10/06 1:43
1784,74,2021/10/06 2:00
2693,185,2021/10/06 2:46
5726,168,2021/10/06 4:24
3859,130,2021/10/06 5:01
9687,65,2021/10/06 6:06
9572,33,2021/10/06 7:20
9058,85,2021/10/06 9:15
8776,44,2021/10/06 10:43
4296,32,2021/10/06 11:05
6609,121,2021/10/06 11:11
3550,143,2021/10/06 13:07
3990,126,2021/10/06 13:44
4044,52,2021/10/06 14:04
5368,54,2021/10/06 14:40
3535,128,2021/10/06 15:53
8475,200,2021/10/06 17:52
5994,197,2021/10/06 19:16
5552,18,2021/10/06 19:32
2923,156,2021/10/06 19:57
3393,62,2021/10/06 20:44
9288,69,2021/10/06 21:58
2377,173,2021/10/06 23:40
7652,58,2021/10/07 0:23
6225,136,2021/10/07 0:52
1782,41,2021/10/07 1:17
1085,111,2021/10/07 3:16
8338,68,2021/10/07 3:35
2735,1,2021/10/07 4:21
6658,151,2021/10/07 5:58
5781,111,2021/10/07 6:22
4123,3,2021/10/07 7:07
3058,199,2021/10/07 8:04
4307,44,2021/10/07 9:36
9161,190,2021/10/07 10:23
5693,147,2021/10/07 11:31
7941,168,2021/10/07 12:35
6139,183,2021/10/07 14:07
7481,132,2021/10/07 14:43
5253,168,2021/10/07 15:52
4878,174,2021/01/28 10:53
3438,88,2021/01/28 10:54
9730,178,2021/01/28 11:20
2202,67,2021/01/28 12:53
3358,99,2021/01/28 14:41
3480,185,2021/01/28 16:39
8703,98,2021/01/28 17:41
9858,24,2021/01/28 18:51
4278,198,2021/01/28 19:00
5513,118,2021/01/28 20:28
1118,35,2021/01/28 22:24
6238,101,2021/01/29 0:22
8069,22,2021/01/29 0:59
8721,34,2021/01/29 1:43
4816,78,2021/01/29 3:22
6444,113,2021/01/29 4:09
5590,62,2021/01/29 5:19
6039,93,2021/01/29 6:26
2378,56,2021/01/29 8:23
4414,94,2021/01/29 9:03
8579,26,2021/01/29 9:41
4089,53,2021/01/29 9:49
4044,37,2021/01/29 10:44
1083,197,2021/01/29 12:05
7859,44,2021/01/29 13:50
9386,44,2021/01/29 14:03
1625,108,2021/01/29 15:35
8893,58,2021/01/29 15:49
2949,12,2021/01/29 17:34
1134,101,2021/01/29 19:32
4429,86,2021/01/29 21:06
1669,108,2021/01/29 22:18
9674,91,2021/01/29 22:34
6780,43,2021/01/30 0:14
6847,28,2021/01/30 0:53
2354,182,2021/01/30 1:44
8138,11,2021/01/30 3:09
3972,27,2021/01/30 4:04
2208,113,2021/01/30 4:57
2076,17,2021/01/30 5:46
8270,99,2021/01/30 6:11
1760,97,2021/01/30 8:00
5105,41,2021/01/30 9:33
7150,101,2021/01/30 9:56
6753,69,2021/01/30 11:17
5140,95,2021/01/30 13:02
3257,103,2021/01/30 14:39
9169,21,2021/01/30 16:37
2489,92,2021/01/30 17:09
5872,44,2021/01/30 19:06
7416,132,2021/01/30 19:20
6204,55,2021/01/30 19:38
8320,79,2021/01/30 19:44
4723,86,2021/01/30 20:58
4224,121,2021/01/30 21:28
9041,194,2021/01/30 21:42
3345,62,2021/01/30 23:02
1181,147,2021/01/31 0:48
1176,102,2021/01/31 2:24
8371,23,2021/01/31 2:44
4002,124,2021/01/31 2:44
5437,36,2021/01/31 4:20
9328,92,2021/01/31 5:10
9933,28,2021/01/31 5:11
9894,21,2021/01/31 5:26
1847,194,2021/01/31 7:24
8280,43,2021/01/31 9:04
2911,174,2021/01/31 9:48
8906,168,2021/01/31 11:02
8094,169,2021/01/31 11:15
7136,98,2021/01/31 11:57
7455,91,2021/01/03 4:45
1620,12,2021/01/03 5:56
4989,82,2021/01/03 7:06
8180,200,2021/01/03 7:20
6421,185,2021/01/03 8:25
5347,56,2021/01/03 8:43
9884,32,2021/01/03 9:32
9287,65,2021/01/03 10:01
2219,6,2021/01/03 10:46
3608,178,2021/01/03 12:20
3190,24,2021/01/03 13:36
6065,145,2021/01/03 14:08
2890,31,2021/01/03 14:19
9243,147,2021/01/03 14:28
4579,29,2021/01/03 15:51
7886,36,2021/01/03 16:10
7426,144,2021/01/03 17:59
3908,113,2021/01/03 19:22
1764,32,2021/01/03 19:52
9399,1,2021/01/03 20:44
8851,127,2021/01/03 21:31
1118,85,2021/01/03 22:39
1241,59,2021/01/03 23:30
7750,175,2021/01/03 23:35
3411,168,2021/01/04 1:25
5673,152,2021/01/04 1:36
4648,36,2021/01/04 3:27
6500,57,2021/01/04 5:21
1856,2,2021/01/04 6:11
9503,94,2021/01/04 6:21
9992,7,2021/01/04 6:29
1223,99,2021/01/04 8:22
1426,145,2021/01/04 9:28
1195,167,2021/01/04 10:20
2045,43,2021/01/04 11:44
4220,2,2021/01/04 12:51
6906,47,2021/01/04 14:09
9102,59,2021/01/04 15:57
4013,53,2021/01/04 16:32
5485,84,2021/01/04 18:11
1014,6,2021/01/04 20:07
7748,15,2021/01/04 20:51
5227,55,2021/01/04 21:00
8671,176,2021/01/04 21:51
1064,27,2021/01/04 22:19
5638,30,2021/01/04 22:49
2343,67,2021/01/04 23:41
9230,40,2021/01/05 0:47
4341,149,2021/01/05 1:24
7552,59,2021/01/05 1:39
7677,29,2021/01/05 2:27
1270,22,2021/01/05 2:33
2830,39,2021/01/05 3:03
1555,100,2021/01/05 4:27
6111,155,2021/01/05 5:14
1043,4,2021/01/05 5:22
6991,142,2021/01/05 7:16
5447,58,2021/01/05 7:44
1110,186,2021/01/05 8:13
4300,26,2021/01/05 8:15
1389,50,2021/01/05 9:14
6701,159,2021/01/05 9:59
2471,3,2021/01/05 11:48
1092,117,2021/01/05 11:52
4316,18,2021/01/05 12:43
3256,64,2021/01/05 13:00
9727,131,2021/01/05 13:30
3225,34,2021/01/05 15:11
2319,176,2021/01/05 17:08
3750,91,2021/01/05 18:04
2619,115,2021/01/05 18:11
4838,61,2021/01/05 18:20
1454,153,2021/01/05 19:26
4238,172,2021/01/05 20:20
7641,33,2021/01/05 20:59
5709,42,2021/01/05 21:01
5724,9,2021/01/05 22:16
7048,175,2021/01/05 23:04
6912,197,2021/01/05 23:05
8147,8,2021/01/05 23:23
9271,52,2021/01/06 1:01
6272,60,2021/01/06 2:58
9169,61,2021/01/06 3:03
3786,102,2021/01/06 3:45
1286,86,2021/01/06 4:27
8309,136,2021/01/06 5:06
9863,58,2021/01/06 5:42
5991,20,2021/01/06 6:59
8786,64,2021/01/06 8:18
1441,105,2021/01/06 9:12
3780,2,2021/01/06 9:50
3173,31,2021/01/06 10:40
6484,143,2021/01/06 11:16
3864,126,2021/02/03 21:53
8751,192,2021/02/03 23:27
7667,154,2021/02/04 1:26
1799,63,2021/02/04 2:47
7951,153,2021/02/04 3:57
6885,4,2021/02/04 4:20
5461,135,2021/02/04 5:37
3803,161,2021/02/04 5:39
6635,12,2021/02/04 7:16
2038,1,2021/02/04 7:58
7272,151,2021/02/04 8:09
8023,62,2021/02/04 9:02
4574,12,2021/02/04 10:49
2829,195,2021/02/04 12:02
5996,136,2021/02/04 12:46
3323,64,2021/02/04 13:14
4999,104,2021/02/04 14:38
4146,22,2021/02/04 15:37
5641,100,2021/02/04 17:34
3920,122,2021/02/04 18:36
4950,176,2021/02/04 20:22
8000,48,2021/02/04 21:07
8909,14,2021/02/26 13:06
2177,196,2021/02/26 14:33
9303,29,2021/02/26 15:18
7209,13,2021/02/26 16:37
1245,85,2021/02/26 16:47
7382,135,2021/02/26 17:21
2868,132,2021/02/26 18:12
4782,23,2021/02/26 19:11
5695,189,2021/02/26 19:56
3030,12,2021/02/26 20:28
7430,132,2021/02/26 21:25
3169,30,2021/02/26 22:05
1222,88,2021/02/26 22:49
5493,121,2021/02/27 0:18
1003,20,2021/02/27 0:30
1584,28,2021/02/27 0:50
7500,155,2021/02/27 1:26
5479,141,2021/02/27 2:16
8198,104,2021/02/27 3:57
4690,17,2021/02/27 4:19
7636,127,2021/02/27 6:02
9721,121,2021/02/27 7:18
8338,157,2021/02/27 8:36
9818,164,2021/02/27 8:56
2055,180,2021/02/27 10:35
5902,177,2021/02/27 11:22
4776,128,2021/02/27 11:36
7790,130,2021/02/27 12:39
9100,121,2021/02/27 13:03
9029,6,2021/02/27 14:49
7897,90,2021/02/27 16:30
7812,161,2021/02/27 17:51
7228,149,2021/02/27 19:07
7142,24,2021/02/27 19:47
5523,100,2021/02/27 21:12
6710,171,2021/02/27 22:45
1383,6,2021/02/27 23:35
3167,134,2021/02/28 0:01
9590,122,2021/02/28 1:35
6918,63,2021/02/28 3:06
3164,82,2021/02/28 3:55
8243,50,2021/02/28 5:22
1171,8,2021/02/28 6:24
2326,170,2021/02/28 6:44
9982,68,2021/02/28 6:51
3285,46,2021/02/28 7:36
3253,27,2021/02/28 7:39
7791,46,2021/02/28 8:58
8845,191,2021/02/28 9:05
3037,102,2021/02/28 9:50
7111,29,2021/02/28 11:19
6668,57,2021/02/28 11:27
6429,30,2021/02/28 11:45
9191,10,2021/02/28 13:22
8359,175,2021/02/28 14:42
8935,176,2021/02/28 15:54
7205,106,2021/02/28 17:49
7961,111,2021/02/28 19:00
4358,74,2021/02/28 20:22
3196,185,2021/02/28 22:04
7689,95,2021/02/28 22:45
8838,132,2021/02/28 23:12
5802,20,2021/03/01 0:40
4101,18,2021/03/01 1:57
6096,152,2021/03/01 2:20
6845,150,2021/03/01 2:46
7674,187,2021/03/01 3:00
2950,172,2021/03/01 3:13
3393,138,2021/03/01 3:37
3005,60,2021/03/01 4:56
5502,54,2021/03/01 6:56
5809,152,2021/03/01 7:15
7905,102,2021/05/01 22:16
1801,178,2021/05/01 23:18
6901,123,2021/05/02 0:35
3881,117,2021/05/02 1:26
3047,90,2021/05/02 2:39
9774,27,2021/05/02 4:14
2299,67,2021/05/02 6:10
6996,123,2021/05/02 7:44
7156,134,2021/05/02 8:13
9188,190,2021/05/02 8:43
8266,103,2021/05/02 10:04
9346,20,2021/05/02 11:30
4077,17,2021/10/08 14:45
1234,96,2021/10/08 16:09
1411,74,2021/10/08 18:04
6100,64,2021/10/08 18:04
9961,53,2021/10/08 18:28
2896,1,2021/10/08 20:16
8880,62,2021/10/08 20:56
5266,96,2021/10/08 22:44
3380,56,2021/10/09 0:10
4515,104,2021/10/09 2:06
8660,75,2021/10/09 2:20
9858,133,2021/10/09 3:30
1488,42,2021/10/09 3:58
3202,67,2021/07/23 4:34
3803,151,2021/07/23 6:14
6735,50,2021/07/23 6:14
2861,45,2021/07/23 6:29
3762,23,2021/07/23 8:12
9044,128,2021/07/23 9:41
1605,69,2021/07/23 11:13
8563,3,2021/07/23 12:09
7924,179,2021/07/23 12:23
8232,179,2021/07/23 13:23
6133,47,2021/07/23 13:39
9256,132,2021/07/23 14:26
2013,119,2021/07/23 15:10
6644,129,2021/07/23 16:44
4180,22,2021/07/23 17:25
9994,177,2021/07/23 18:16
2820,118,2021/07/23 18:48
7064,162,2021/07/23 19:39
3305,20,2021/07/23 20:06
5914,183,2021/07/23 20:57
3699,58,2021/07/23 22:56
3432,54,2021/07/23 23:16
6892,156,2021/07/23 23:56
8750,84,2021/07/24 0:41
4925,53,2021/07/24 1:53
9683,191,2021/07/24 2:00
7996,176,2021/07/24 2:03
9254,183,2021/07/24 2:26
2656,132,2021/07/24 3:58
6248,23,2021/07/24 4:11
6160,95,2021/07/24 5:13
6646,135,2021/07/24 6:49
4390,86,2021/07/24 8:02
5870,4,2021/07/24 8:36
2000,79,2021/07/24 9:21
1154,85,2021/07/24 9:59
5054,147,2021/07/24 11:44
3339,192,2021/07/24 12:06
4799,46,2021/07/24 12:44
2145,85,2021/07/24 14:23
9898,118,2021/07/24 15:25
6166,129,2021/07/24 17:25
9209,76,2021/07/24 18:47
5996,186,2021/07/24 20:18
7591,44,2021/07/24 21:15
8245,51,2021/07/24 21:55
6972,25,2021/07/24 23:29
4670,79,2021/07/25 0:16
9384,190,2021/07/25 1:50
1152,122,2021/07/25 3:17
7174,151,2021/08/21 22:46
3200,6,2021/08/22 0:16
3679,103,2021/08/22 1:30
3073,168,2021/08/22 2:37
2402,8,2021/08/22 4:25
5293,84,2021/08/22 5:21
6289,139,2021/08/22 5:44
6868,191,2021/08/22 7:41
8243,75,2021/08/22 7:42
1641,81,2021/08/22 8:48
1411,31,2021/08/22 8:49
9719,193,2021/08/22 9:04
4721,31,2021/08/22 9:17
2105,175,2021/08/22 10:08
9143,45,2021/08/22 11:46
8440,89,2021/08/22 12:17
8095,38,2021/08/22 13:20
5278,171,2021/08/22 15:16
1102,15,2021/08/22 16:40
2786,46,2021/08/22 18:38
9260,117,2021/08/22 20:31
8814,68,2021/08/22 20:50
5258,51,2021/08/22 21:58
8968,5,2021/08/22 22:55
1504,111,2021/08/22 23:30
4389,119,2021/08/23 0:04
6964,66,2021/08/23 0:55
9440,118,2021/09/20 13:53
1212,153,2021/09/20 14:16
4745,150,2021/09/20 15:36
4927,166,2021/09/20 16:56
6846,185,2021/09/20 17:43
8060,159,2021/09/20 18:33
4192,33,2021/09/20 20:06
8421,108,2021/09/20 20:48
7541,151,2021/09/20 22:38
5406,110,2021/09/20 23:48
3110,24,2021/09/21 1:38
7043,144,2021/09/21 1:54
2693,91,2021/09/21 1:59
5961,8,2021/09/21 3:22
5870,66,2021/09/21 4:37
8780,151,2021/09/21 6:20
3682,64,2021/09/21 7:37
8009,39,2021/09/21 8:35
9973,122,2021/09/21 9:01
4607,135,2021/09/21 10:57
3036,49,2021/09/21 11:47
9151,130,2021/09/21 12:12
9928,124,2021/09/21 13:46
2935,53,2021/09/21 14:44
4209,168,2021/09/21 15:25
6761,198,2021/09/21 17:16
7063,35,2021/09/21 17:33
1745,75,2021/09/21 19:30
3435,198,2021/09/21 19:38
8309,144,2021/09/21 21:13
4368,93,2021/09/21 21:23
2042,178,2021/09/21 22:54
2133,99,2021/09/21 23:08
9727,137,2021/09/22 0:07
5777,36,2021/09/22 1:23
6912,9,2021/09/22 1:45
6825,93,2021/09/22 3:35
1572,164,2021/09/22 4:12
3877,33,2021/09/22 4:51
6830,78,2021/09/22 6:26
